Year,Total male population (000s),Total female population (000s),Total population (000s),Median age,Sex ratio,Median age at death,Total fertility,Child dependency,Elderly dependency,Total dependency
1972,"1,162.80","1,139.30","2,302.10",27.9,102.1,72.3,"1,966",0.564,0.16,0.724
1973,"1,194.30","1,172.90","2,367.30",28.1,101.8,71.9,"1,875",0.545,0.159,0.704
1974,"1,231.20","1,211.30","2,442.60",28.2,101.6,71.5,"1,769",0.525,0.158,0.683
1975,"1,258.20","1,241.30","2,499.60",28.5,101.4,71.5,"1,756",0.509,0.158,0.667
1976,"1,272.80","1,261.10","2,533.90",28.9,100.9,71.4,"1,690",0.492,0.16,0.652
1977,"1,289.00","1,281.30","2,570.30",29.3,100.6,71.6,"1,649",0.476,0.162,0.638
1978,"1,310.00","1,305.20","2,615.20",29.7,100.4,71.9,"1,630",0.459,0.164,0.623
1979,"1,332.90","1,332.30","2,665.20",30.1,100,71.9,"1,637",0.443,0.166,0.61
1980,"1,372.90","1,373.00","2,745.90",30.4,100,72.2,"1,615",0.431,0.169,0.599
1981,"1,413.30","1,413.20","2,826.60",30.6,100,72.4,"1,619",0.417,0.169,0.586
1982,"1,437.40","1,439.10","2,876.50",31,99.9,73,"1,664",0.405,0.17,0.575
1983,"1,451.60","1,455.90","2,907.50",31.4,99.7,73.3,"1,631",0.397,0.173,0.569
1984,"1,470.10","1,477.00","2,947.20",31.8,99.5,73.5,"1,661",0.392,0.175,0.567
1985,"1,482.40","1,492.70","2,975.10",32.3,99.3,74.1,"1,675",0.39,0.182,0.571
1986,"1,495.10","1,508.60","3,003.60",32.8,99.1,74.4,"1,624",0.386,0.188,0.574
1987,"1,516.90","1,531.70","3,048.70",33.2,99,74.6,"1,615",0.384,0.193,0.577
1988,"1,549.00","1,565.80","3,114.80",33.5,98.9,74.9,"1,588",0.38,0.196,0.576
1989,"1,589.70","1,607.00","3,196.70",33.8,98.9,74.8,"1,631",0.377,0.198,0.575
1990,"1,637.90","1,654.30","3,292.10",34.1,99,75.1,"1,659",0.377,0.199,0.576
1991,"1,681.60","1,692.20","3,373.80",34.4,99.4,75.5,"1,646",0.375,0.2,0.575
1992,"1,727.60","1,741.20","3,468.80",34.6,99.2,75.8,"1,652",0.376,0.2,0.575
1993,"1,776.90","1,790.80","3,567.80",34.9,99.2,76.1,"1,631",0.374,0.198,0.572
1994,"1,832.20","1,843.80","3,676.10",35.1,99.4,75.8,"1,617",0.371,0.197,0.569
1995,"1,884.30","1,893.10","3,777.40",35.4,99.5,76.2,"1,617",0.368,0.197,0.565
1996,"1,929.30","1,945.00","3,874.30",35.7,99.2,76.4,"1,573",0.364,0.196,0.56
1997,"1,965.50","1,983.10","3,948.60",36,99.1,76.8,"1,515",0.36,0.196,0.557
1998,"1,980.50","2,002.60","3,983.10",36.5,98.9,77.1,"1,468",0.356,0.199,0.554
1999,"1,992.60","2,018.80","4,011.40",37,98.7,77.4,"1,443",0.35,0.2,0.551
2000,"2,005.40","2,033.90","4,039.20",37.5,98.6,77.8,"1,422",0.344,0.202,0.546
2001,"2,023.40","2,053.50","4,076.90",37.9,98.5,78.4,"1,382",0.337,0.203,0.54
2002,"2,033.10","2,067.10","4,100.20",38.4,98.4,78.3,"1,383",0.329,0.205,0.534
2003,"2,044.10","2,079.80","4,123.90",38.9,98.3,78.5,"1,417",0.323,0.207,0.53
2004,"2,058.40","2,096.60","4,155.00",39.4,98.2,78.9,"1,414",0.317,0.209,0.526
2005,"2,078.90","2,116.90","4,195.80",39.7,98.2,78.9,"1,429",0.312,0.211,0.523
2006,"2,101.30","2,140.30","4,241.70",40.1,98.2,79.1,"1,443",0.308,0.214,0.522
2007,"2,127.60","2,163.40","4,291.00",40.3,98.3,79.5,"1,473",0.302,0.216,0.518
2008,"2,158.80","2,190.60","4,349.40",40.5,98.5,79.5,"1,507",0.297,0.219,0.515
2009,"2,191.10","2,219.60","4,410.70",40.6,98.7,79.9,"1,497",0.293,0.222,0.514
2010,"2,219.70","2,246.20","4,465.90",40.8,98.8,79.7,"1,468",0.289,0.226,0.515
2011,"2,236.80","2,262.40","4,499.10",41.1,98.9,80.1,"1,437",0.287,0.232,0.519
2012,"2,259.30","2,287.00","4,546.30",41.4,98.8,80.4,"1,417",0.283,0.241,0.524
2013,"2,280.50","2,309.60","4,590.10",41.6,98.7,80.4,"1,421",0.28,0.251,0.531
2014,"2,307.70","2,338.80","4,646.50",41.8,98.7,80.5,"1,389",0.277,0.26,0.537
2015,"2,330.00","2,364.70","4,694.70",42,98.5,80.7,"1,396",0.277,0.269,0.546
2016,"2,361.00","2,396.60","4,757.70",42,98.5,80.8,"1,383",0.277,0.278,0.554
