Reported_Date,HA,Sex,Classification_Reported,Age_Group_Extract,Case Count
2020-01-29,Out of Canada,M,Lab-diagnosed,40-49,1
2020-02-06,Vancouver Coastal,F,Lab-diagnosed,50-59,1
2020-02-10,Out of Canada,M,Lab-diagnosed,30-39,1
2020-02-10,Out of Canada,F,Lab-diagnosed,20-29,1
2020-02-18,Interior,F,Lab-diagnosed,30-39,1
2020-02-24,Fraser,F,Lab-diagnosed,30-39,1
2020-02-24,Fraser,M,Lab-diagnosed,40-49,1
2020-03-03,Fraser,M,Lab-diagnosed,50-59,1
2020-03-03,Vancouver Coastal,F,Lab-diagnosed,60-69,1
2020-03-03,Vancouver Coastal,F,Lab-diagnosed,30-39,1
2020-03-03,Vancouver Coastal,F,Lab-diagnosed,80-89,1
2020-03-03,Vancouver Coastal,M,Lab-diagnosed,60-69,1
2020-03-05,Out of Canada,F,Lab-diagnosed,50-59,3
2020-03-05,Vancouver Coastal,M,Lab-diagnosed,60-69,1
2020-03-05,Fraser,F,Lab-diagnosed,50-59,1
2020-03-05,Vancouver Coastal,M,Lab-diagnosed,30-39,1
2020-03-05,Vancouver Coastal,M,Lab-diagnosed,20-29,1
2020-03-05,Vancouver Coastal,F,Lab-diagnosed,50-59,1
2020-03-06,Fraser,M,Lab-diagnosed,60-69,2
2020-03-06,Vancouver Coastal,M,Lab-diagnosed,80-89,1
2020-03-06,Fraser,F,Lab-diagnosed,60-69,1
2020-03-06,Fraser,F,Lab-diagnosed,50-59,1
2020-03-06,Vancouver Coastal,F,Lab-diagnosed,50-59,1
2020-03-06,Vancouver Coastal,F,Lab-diagnosed,70-79,1
2020-03-07,Vancouver Coastal,M,Lab-diagnosed,30-39,1
2020-03-08,Northern,F,Lab-diagnosed,60-69,1
2020-03-08,Fraser,M,Lab-diagnosed,50-59,1
2020-03-08,Fraser,M,Lab-diagnosed,10-19,1
2020-03-08,Fraser,F,Lab-diagnosed,40-49,1
2020-03-09,Northern,M,Lab-diagnosed,70-79,1
2020-03-09,Vancouver Coastal,F,Lab-diagnosed,30-39,1
2020-03-09,Vancouver Coastal,F,Lab-diagnosed,50-59,1
2020-03-10,Fraser,M,Lab-diagnosed,90+,1
2020-03-10,Vancouver Island,M,Lab-diagnosed,60-69,1
2020-03-10,Vancouver Coastal,M,Lab-diagnosed,90+,1
2020-03-10,Vancouver Coastal,F,Lab-diagnosed,50-59,2
2020-03-10,Fraser,M,Lab-diagnosed,60-69,1
2020-03-10,Fraser,M,Lab-diagnosed,70-79,1
2020-03-10,Vancouver Coastal,M,Lab-diagnosed,40-49,1
2020-03-10,Fraser,M,Lab-diagnosed,40-49,1
2020-03-10,Fraser,F,Lab-diagnosed,60-69,1
2020-03-11,Vancouver Coastal,M,Lab-diagnosed,20-29,1
2020-03-11,Vancouver Coastal,F,Lab-diagnosed,60-69,1
2020-03-11,Vancouver Coastal,F,Lab-diagnosed,40-49,1
2020-03-11,Vancouver Coastal,F,Lab-diagnosed,30-39,1
2020-03-11,Vancouver Coastal,F,Lab-diagnosed,70-79,2
2020-03-11,Vancouver Coastal,M,Lab-diagnosed,90+,1
2020-03-11,Vancouver Coastal,M,Lab-diagnosed,40-49,2
2020-03-11,Vancouver Coastal,M,Lab-diagnosed,70-79,1
2020-03-11,Vancouver Coastal,M,Lab-diagnosed,50-59,1
2020-03-11,Vancouver Coastal,M,Lab-diagnosed,80-89,1
2020-03-11,Fraser,F,Lab-diagnosed,40-49,1
2020-03-11,Vancouver Coastal,M,Lab-diagnosed,60-69,1
2020-03-11,Fraser,M,Lab-diagnosed,40-49,1
2020-03-11,Fraser,F,Lab-diagnosed,50-59,1
2020-03-12,Vancouver Coastal,F,Lab-diagnosed,50-59,4
2020-03-12,Vancouver Coastal,M,Lab-diagnosed,10-19,1
2020-03-12,Vancouver Coastal,F,Lab-diagnosed,30-39,2
2020-03-12,Vancouver Coastal,M,Lab-diagnosed,40-49,1
2020-03-13,Vancouver Coastal,M,Lab-diagnosed,20-29,2
2020-03-13,Fraser,F,Lab-diagnosed,50-59,1
2020-03-13,Vancouver Coastal,M,Lab-diagnosed,60-69,3
2020-03-13,Vancouver Coastal,F,Lab-diagnosed,50-59,3
2020-03-13,Vancouver Coastal,M,Lab-diagnosed,30-39,2
2020-03-13,Vancouver Coastal,F,Lab-diagnosed,60-69,1
2020-03-13,Vancouver Coastal,F,Lab-diagnosed,40-49,1
2020-03-13,Vancouver Coastal,F,Lab-diagnosed,30-39,1
2020-03-13,Vancouver Coastal,M,Lab-diagnosed,80-89,1
2020-03-13,Vancouver Island,F,Lab-diagnosed,30-39,1
2020-03-14,Fraser,M,Lab-diagnosed,40-49,1
2020-03-14,Vancouver Coastal,F,Lab-diagnosed,70-79,2
2020-03-14,Vancouver Coastal,F,Lab-diagnosed,50-59,2
2020-03-14,Vancouver Island,F,Lab-diagnosed,20-29,1
2020-03-14,Vancouver Coastal,M,Lab-diagnosed,70-79,1
2020-03-14,Fraser,F,Lab-diagnosed,40-49,1
2020-03-14,Vancouver Island,M,Lab-diagnosed,50-59,1
2020-03-14,Vancouver Coastal,F,Lab-diagnosed,80-89,3
2020-03-14,Fraser,M,Lab-diagnosed,20-29,1
2020-03-14,Fraser,F,Lab-diagnosed,70-79,1
2020-03-14,Vancouver Coastal,M,Lab-diagnosed,50-59,4
2020-03-14,Northern,F,Lab-diagnosed,60-69,1
2020-03-14,Fraser,F,Lab-diagnosed,20-29,1
2020-03-14,Vancouver Coastal,F,Lab-diagnosed,30-39,4
2020-03-14,Vancouver Coastal,M,Lab-diagnosed,80-89,1
2020-03-14,Fraser,M,Lab-diagnosed,90+,1
2020-03-14,Vancouver Coastal,M,Lab-diagnosed,20-29,1
2020-03-14,Vancouver Island,F,Lab-diagnosed,80-89,1
2020-03-15,Vancouver Coastal,M,Lab-diagnosed,30-39,3
2020-03-15,Fraser,M,Lab-diagnosed,50-59,2
2020-03-15,Interior,M,Lab-diagnosed,60-69,1
2020-03-15,Fraser,M,Lab-diagnosed,30-39,2
2020-03-15,Vancouver Coastal,F,Lab-diagnosed,90+,2
2020-03-15,Vancouver Coastal,M,Lab-diagnosed,60-69,1
2020-03-15,Vancouver Island,M,Lab-diagnosed,60-69,1
2020-03-15,Vancouver Island,F,Lab-diagnosed,70-79,1
2020-03-15,Vancouver Coastal,M,Lab-diagnosed,80-89,1
2020-03-15,Fraser,F,Lab-diagnosed,50-59,1
2020-03-15,Fraser,F,Lab-diagnosed,40-49,1
2020-03-15,Interior,F,Lab-diagnosed,70-79,1
2020-03-15,Vancouver Coastal,F,Lab-diagnosed,30-39,1
2020-03-15,Fraser,M,Lab-diagnosed,80-89,1
2020-03-15,Vancouver Coastal,M,Lab-diagnosed,20-29,1
2020-03-15,Fraser,F,Lab-diagnosed,70-79,1
